group_name,school_name,score
,FIRST ROUND,
A,Land Mark Academy,
A,Padma Chakra School,
A,Jeevan Jyoti Academy,
A,Angels Heart Sec. School,
A,Gurukul Public School,
,,
B,Rose Mary Idol Boarding School,
B,Kaushal Eng. Boarding School,
B,Laligurans National Academy,
B,Kathmandu Lincoln School,
B,North Star English Boarding School,
B,Spring Valley,
,,
C,Angels Heart National School,
C,Suvakamana Boarding school,
C,Aagaman Academy,
C,Guinness Public School,
C,HimRashmi High School,
,,
D,Siddhartha Model Secondary School,
D,Praramva World School,
D,Everest Eng. School,
D,Sacred Heart Boarding School,
D,NorthPole Academy,
D,United Scholars Academy,
,,
E,Tejaswai Academy,
E,Kathmandu Sikshyalaya,
E,Bal srijana,
E,Mount Larke Sec. School,
E,Laligurans Vidhya Kunja,
E,Srijana Gyan Sagar,
,SECOND ROUND( GROUP A),
F,,
F,,
F,,
F,,
F,,
,SECOND ROUND(GROUP B),
G,,
G,,
G,,
G,,
G,,
,FINAL,
H,,
H,,
H,,
H,,
H,,
